freq,psd_x,psd_y,psd_z,psd_xyz
163.4,2.554e+02,1.398e+03,1.748e+02,1.828e+03
165.0,3.621e+02,1.962e+03,1.314e+02,2.456e+03
166.5,4.833e+02,2.393e+03,9.816e+01,2.974e+03
168.1,6.342e+02,2.894e+03,8.417e+01,3.612e+03
169.6,6.804e+02,3.656e+03,7.979e+01,4.417e+03
171.2,6.318e+02,4.323e+03,1.042e+02,5.059e+03
172.7,5.546e+02,4.619e+03,1.773e+02,5.351e+03
174.2,4.958e+02,4.633e+03,3.104e+02,5.440e+03
175.8,4.292e+02,4.628e+03,4.156e+02,5.473e+03
177.3,4.817e+02,4.202e+03,4.536e+02,5.138e+03
178.9,5.635e+02,3.616e+03,4.340e+02,4.613e+03
180.4,6.266e+02,2.920e+03,4.547e+02,4.001e+03
181.9,5.969e+02,2.298e+03,4.342e+02,3.329e+03
183.5,5.598e+02,1.821e+03,4.123e+02,2.793e+03
185.0,5.349e+02,1.477e+03,3.612e+02,2.373e+03
186.6,5.712e+02,1.281e+03,3.228e+02,2.175e+03
188.1,5.184e+02,1.314e+03,3.003e+02,2.132e+03
189.7,4.461e+02,1.452e+03,2.999e+02,2.198e+03
191.2,4.039e+02,1.723e+03,3.101e+02,2.437e+03
192.7,3.818e+02,2.301e+03,3.564e+02,3.039e+03
194.3,3.983e+02,3.013e+03,4.079e+02,3.819e+03
195.8,3.925e+02,3.554e+03,4.839e+02,4.430e+03
197.4,4.368e+02,3.996e+03,5.672e+02,5.000e+03
198.9,4.552e+02,4.368e+03,6.384e+02,5.462e+03
